home_team,away_team,home_goals,away_goals,month,p_home_win1,p_draw1,p_away_win1,p_home_win2,p_draw2,p_away_win2,p_home_win3,p_draw3,p_away_win3,oddHome,oddDraw,oddAway,d_accuracy,d_efficiency,d_vulnerability,d_points,d_global_rank,d_rank
St Etienne,Monaco,1,1,10,0.4531,0.2294,0.3115,0.310234375,0.3625,0.32726562499999995,0.412421875,0.3625,0.225078125,2.59,3.25,3.04,1.7965079365079366,-0.12721575809811103,-0.1072832396361808,0.18181818181818177,6,4
Toulouse,Lyon,1,2,10,0.7857,0.1343,0.07200000000000001,0.3709375,0.5249999999999999,0.10406250000000006,0.58,0.4,0.020000000000000014,2.76,3.39,2.76,-1.504365079365079,0.13627615521733172,-0.002904040404040409,0.9696969696969695,-7,-8
Marseille,Bordeaux,0,0,10,0.5731,0.3285,0.0984,0.34750000000000003,0.45,0.2025,0.4534375000000001,0.325,0.2215625,2.25,3.35,3.6,-0.0864285714285713,-0.06895299145299144,-0.11742923742923742,0.36363636363636365,4,4
Nice,Nantes,4,1,10,0.5912,0.2569,0.1515,0.53125,0.25,0.21875,0.5059374999999999,0.275,0.2190625,2.0,3.3,4.6,0.5384126984126985,0.07131155881155879,-0.03190242763772174,0.5944055944055945,-6,-15
Rennes,Metz,1,0,10,0.4889,0.3496,0.1615,0.443359375,0.5625,-0.005859375000000028,0.4534375,0.325,0.22156250000000005,1.63,3.92,6.65,-0.813333333333333,0.08931623931623926,0.04538177339901478,0.5454545454545457,-2,-7
Montpellier,Marseille,3,1,11,0.4555,0.2552,0.2875,0.18648437500000006,0.4624999999999999,0.35101562500000005,0.330625,0.575,0.09437500000000006,2.6,3.29,3.01,1.494285714285715,-0.025447330447330455,0.002398908281261186,0.5454545454545454,-2,5
Angers,Lille,1,0,11,0.588,0.2605,0.1511,0.2,0.6,0.2,0.401875,0.65,-0.051875,2.48,2.95,3.56,0.22142857142857153,0.01625188536953244,-0.10695970695970694,0.6363636363636364,-3,-6
Bordeaux,Lorient,2,1,11,0.5626,0.301,0.1363,0.24148437500000006,0.6625,0.096015625,0.359296875,0.7375,-0.09679687500000003,1.78,3.87,4.98,-0.026190476190476097,0.03712418300653592,-0.07440059940059938,0.7272727272727273,-4,-11
Dijon,Guingamp,3,3,11,0.4195,0.2532,0.3251,0.33210937500000004,0.2875,0.380390625,0.4400000000000001,0.3999999999999999,0.16000000000000006,2.65,3.16,3.07,0.3222222222222224,0.01447395197395196,-0.01805749805749804,0.3076923076923077,1,8
Lyon,Bastia,2,1,11,0.5491,0.2283,0.2195,0.25749999999999995,0.65,0.0925,0.3509375,0.675,-0.025937500000000058,1.44,4.81,8.39,-0.907142857142857,0.061911976911976904,0.11255656108597284,0.5454545454545455,0,-5
Monaco,Nancy,6,0,11,0.6338,0.2255,0.1396,0.351015625,0.4625,0.186484375,0.5196875,0.325,0.15531250000000005,1.47,4.61,8.17,-0.2865079365079368,0.16534184769478882,0.06500721500721501,0.7272727272727276,-8,-17
Nantes,Toulouse,1,1,11,0.1001,0.5191,0.3808,0.16351562499999994,0.6125,0.223984375,0.1671875,0.625,0.2078125,2.67,3.06,3.14,-1.0944444444444454,-0.036230158730158724,0.05281537176274016,-0.09790209790209792,10,8
Caen,Nice,1,0,11,0.0354,0.0821,0.8624,0.020000000000000014,0.4,0.58,0.22,0.30000000000000004,0.48,3.06,3.39,2.51,4.20625,-0.04349314084608201,0.06568986568986569,-0.29292929292929293,11,16
Metz,St Etienne,0,0,11,0.1042,0.133,0.7351,-0.03125,0.65,0.38125,0.08914062500000003,0.6375,0.273359375,3.63,3.35,2.24,1.2999999999999998,0.08796092796092791,0.10592329239388061,0.09090909090909094,6,5
Paris SG,Rennes,4,0,11,0.8561,0.1293,0.013999999999999999,0.386171875,0.2125,0.401328125,0.43,0.425,0.14499999999999996,1.23,7.16,14.55,-0.49166666666666625,0.06378489326765188,-0.1042695866225278,0.6363636363636362,1,-2
